Rank_PL_Dez25,Instituição,PL_202512,LL_202503,LL_202603,Delta_LL,Var_LL_pct,LL_202503_pct_PL_Dez25,LL_202603_pct_PL_Dez25,Delta_LL_pct_PL_Dez25
119,ZEMA CFI - PRUDENCIAL,150874631.14,11307935.719999999,1361881.0100000054,-9946054.709999993,-0.8795641358668772,0.07494921866292491,0.009026573915771732,-0.06592264474715318
79,BR PARTNERS - PRUDENCIAL,584367790.39,4660816.620000124,-5256767.6000003815,-9917584.220000505,-2.127864069451469,0.007975827375580627,-0.008995649121064798,-0.016971476496645425
102,99PAY IP - PRUDENCIAL,245035961.14,10248323.920000017,2788138.6400000155,-7460185.280000001,-0.7279419872200906,0.04182375465348407,0.011378487578021365,-0.030445267075462707
115,BANCO PAULISTA - PRUDENCIAL,175683473.53,-5501071.230000004,-12362549.679999992,-6861478.449999988,-1.2472986011489953,-0.03131240019033795,-0.070368313146364,-0.039055912956026055
41,VOLVO - PRUDENCIAL,3777038867.38,105502318.68000007,99445371.13999999,-6056947.540000081,-0.057410563253794046,0.027932547793235535,0.026328924491312362,-0.001603623301923174
84,RANDON - PRUDENCIAL,503609868.04,33885492.620000005,28128637.099999994,-5756855.520000011,-0.16989145132280534,0.06728520382628522,0.05585402289568685,-0.011431180930598372
74,INDUSTRIAL DO BRASIL - PRUDENCIAL,676982450.7,18530485.01999998,12809785.819999993,-5720699.199999988,-0.3087182658103999,0.02737217929480957,0.018921887571464624,-0.008450291723344945
95,ANDBANK - PRUDENCIAL,309027497.25,-1913111.0600000024,-6890271.99000001,-4977160.930000007,-2.601605852406708,-0.006190747027447579,-0.022296630724824632,-0.016105883697377053
123,CALCARD IP - PRUDENCIAL,124140206.63,3999463.8599999994,-868489.6200000048,-4867953.480000004,-1.217151510902765,0.032217312735110915,-0.006996038137656231,-0.039213350872767144
96,CAIXA GERAL - PRUDENCIAL,301518602.14,-656268.0999999046,-5066164.830000043,-4409896.730000138,-6.71965730164361,-0.0021765426588678223,-0.016802163428867783,-0.01462562076999996
8,BCO CLASSICO S.A. - PRUDENCIAL,19932580178.35,735166.1599999964,-1161624.8199999928,-1896790.9799999893,-2.5800847253361043,3.688263904732743e-05,-5.827769458876704e-05,-9.516033363609446e-05
94,BANCO TRAVELEX - PRUDENCIAL,315158191.06,2568600.0699999332,1047725.9500000179,-1520874.1199999154,-0.5921023431257458,0.008150192959798153,0.0033244446113747084,-0.004825748348423444
97,CREDI SHOP S.A. - PRUDENCIAL,290610109.19,5331792.579999998,4089183.4700000063,-1242609.109999992,-0.23305653611903868,0.01834689300678831,0.014071029674079612,-0.004275863332708698
105,DOCK IP - PRUDENCIAL,213508155.14,-8114757.680000007,-8539302.36999999,-424544.6899999827,-0.05231760537302727,-0.03800678093386671,-0.039995204700263846,-0.0019884237663971354
100,STARK SCD - PRUDENCIAL,249023149.0,4406675.630000003,4386459.900000006,-20215.72999999672,-0.0045875239516997785,0.017695847344698073,0.017614667221158647,-8.118012353942533e-05
