Rank_PL_Dez25,Instituição,PL_202512,PL_202601,PL_202602,PL_202603,Delta_PL_Dez25_Jan26,Delta_PL_Jan26_Fev26,Delta_PL_Fev26_Mar26,Delta_PL_Dez25_Mar26,Delta_PL_pct_Dez25_Mar26,Maior_Mes_Aumento_PL,LL_Mensal_Jan26,LL_Mensal_Fev26,LL_Mensal_Mar26,LL_202603,Proxy_Capital_Outras_Jan26,Proxy_Capital_Outras_Fev26,Proxy_Capital_Outras_Mar26,Proxy_Capital_Outras_1T26,LL_202503,Delta_LL_Mar25_Mar26,Delta_LL_pct_Mar25_Mar26
40,CREDIT AGRICOLE - PRUDENCIAL,3857214452.47,4139186206.46,4138665736.24,4123105662.14,281971753.99000025,-520470.220000267,-15560074.099999905,265891209.67000008,0.06893347853649527,Dez25->Jan26,38331969.619999886,10085462.640000343,12028671.090000153,60446103.35000038,243639784.37000036,-10605932.86000061,-27588745.190000057,205445106.3199997,21127343.119999886,39318760.230000496,1.8610366673498087
43,AF PARANÁ - PRUDENCIAL,3506310337.7,3502381132.7,3752321104.11,3752340737.27,-3929205.0,249939971.41000032,19633.159999847412,246030399.57000017,0.07016789042449287,Jan26->Fev26,21172746.450000003,21205053.560000002,18164087.12999998,60541887.139999986,-25101951.450000003,228734917.85000032,-18144453.970000133,185488512.4300002,48893541.52000001,11648345.619999975,0.23823894236082682
46,GM - PRUDENCIAL,2423135932.18,2644740987.16,2644740987.16,2644740987.16,221605054.98000002,0.0,0.0,221605054.98000002,0.09145382726450293,Dez25->Jan26,21097405.449999988,27697728.380000055,167831164.14999998,216626297.98000002,200507649.53000003,-27697728.380000055,-167831164.14999998,4978757.0,102383918.12,114242379.86000001,1.1158234804620506
23,CREFISA S.A. CFI - PRUDENCIAL,6732872736.54,6979224232.58,6974237401.3,6946081425.31,246351496.03999996,-4986831.279999733,-28155975.98999977,213208688.77000046,0.03166682293174721,Dez25->Jan26,48272947.68000007,48414629.879999876,14483896.350000381,111171473.91000032,198078548.3599999,-53401461.15999961,-42639872.34000015,102037214.86000013,272859223.15999985,-161687749.24999952,-0.5925683851822325
41,VOLVO - PRUDENCIAL,3777038867.38,3988000033.03,3988000033.03,3988000033.03,210961165.6500001,0.0,0.0,210961165.6500001,0.05585358611793595,Dez25->Jan26,27255268.46000001,24576788.650000006,47613314.02999997,99445371.13999999,183705897.1900001,-24576788.650000006,-47613314.02999997,111515794.51000011,105502318.68000007,-6056947.540000081,-0.057410563253794046
65,BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,1077414033.36,1281283964.06,1270564295.16,1244152538.58,203869930.70000005,-10719668.899999857,-26411756.580000162,166738505.22000003,0.15475805962914085,Dez25->Jan26,20376382.419999957,19481334.79000008,18324896.860000014,58182614.07000005,183493548.2800001,-30201003.689999938,-44736653.44000018,108555891.14999998,51571347.15999997,6611266.910000086,0.12819651364717405
34,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,4837927349.2,5233907554.75,5233916835.95,4996411530.87,395980205.5500002,9281.199999809265,-237505305.07999992,158484181.67000008,0.032758694008955515,Dez25->Jan26,-24811688.399999976,33018577.049999952,135565476.64999998,143772365.29999995,420791893.95000017,-33009295.850000143,-373070781.7299999,14711816.370000124,108900287.13000011,34872078.16999984,0.3202202591841761
49,BANESTES - PRUDENCIAL,2192028083.19,2404095798.1,2398428559.63,2349233835.2,212067714.90999985,-5667238.46999979,-49194724.430000305,157205752.00999975,0.0717170337440305,Dez25->Jan26,10037350.810000062,21369453.23999989,59296532.27999997,90703336.32999992,202030364.0999998,-27036691.70999968,-108491256.71000028,66502415.67999983,54542162.52999997,36161173.79999995,0.6629948671380627
69,QI SCD - PRUDENCIAL,865666322.36,1110039382.71,1021988435.48,1021880925.49,244373060.35000002,-88050947.23000002,-107509.99000000954,156214603.13,0.18045590904371103,Dez25->Jan26,46208017.22999999,44395685.22,33040676.160000026,123644378.61000001,198165043.12000003,-132446632.45000002,-33148186.150000036,32570224.51999998,62562481.0,61081897.610000014,0.9763343242413934
71,BCO DO EST. DE SE S.A. - PRUDENCIAL,831046535.44,917942787.55,913751088.78,961194428.62,86896252.1099999,-4191698.769999981,47443339.84000003,130147893.17999995,0.15660722670733807,Dez25->Jan26,14246748.569999993,14962640.359999955,1354374.6299999952,30563763.559999943,72649503.5399999,-19154339.129999936,46088965.21000004,99584129.62,21752037.139999986,8811726.419999957,0.40509890468125426
62,BCO FIBRA S.A. - PRUDENCIAL,1186188311.44,1300809948.76,1301411866.71,1301839937.67,114621637.31999993,601917.9500000477,428070.96000003815,115651626.23000002,0.09749853806062388,Dez25->Jan26,3883878.080000043,22199340.23999989,50076972.99000001,76160191.30999994,110737759.23999989,-21597422.289999843,-49648902.02999997,39491434.92000008,25915355.840000153,50244835.46999979,1.9388055398586221
72,BANCO DIGIMAIS - PRUDENCIAL,798110441.01,787322475.65,787322475.65,912322475.65,-10787965.360000014,0.0,125000000.0,114212034.63999999,0.1431030453573141,Fev26->Mar26,-45664246.97999999,-11562049.960000008,-51128664.95000005,-108354961.89000005,34876281.619999975,11562049.960000008,176128664.95000005,222566996.53000003,-15350085.350000024,-93004876.54000002,-6.058915922574976
66,AF DO ESTADO DE SC S.A. - PRUDENCIAL,1046743387.58,1158509817.88,1158509817.88,1158509817.88,111766430.30000007,0.0,0.0,111766430.30000007,0.10677538700138962,Dez25->Jan26,9645377.729999997,5117993.030000009,5512832.049999997,20276202.810000002,102121052.57000008,-5117993.030000009,-5512832.049999997,91490227.49000007,18497262.97,1778939.8400000036,0.096173138852229
58,FISERV DO BRASIL IP - PRUDENCIAL,1614202601.35,1717189461.83,1717189461.83,1717189461.83,102986860.48000002,0.0,0.0,102986860.48000002,0.06380045503201978,Dez25->Jan26,10534170.390000015,-2169556.3700000346,18118718.429999948,26483332.44999993,92452690.09,2169556.3700000346,-18118718.429999948,76503528.03000009,-23030260.0,49513592.44999993,2.1499363207362805
121,BMP SCMEPP LTDA - PRUDENCIAL,130168218.57,232217818.02,232217818.02,232217818.02,102049599.45000002,0.0,0.0,102049599.45000002,0.7839824541742595,Dez25->Jan26,28885470.65,19147952.720000006,-13189244.350000024,34844179.01999998,73164128.80000001,-19147952.720000006,13189244.350000024,67205420.43000004,92182542.97,-57338363.95000002,-0.6220089195050769
104,IFOOD PAGO IP - PRUDENCIAL,232055572.03,309962009.78,320651330.54,320840651.3,77906437.74999997,10689320.76000005,189320.75999999046,88785079.27000001,0.3826026606183881,Dez25->Jan26,22045038.5,29077682.28000003,46502157.099999964,97624877.88,55861399.24999997,-18388361.51999998,-46312836.339999974,-8839798.609999985,,,
61,PARANÁ BANCO - PRUDENCIAL,1210832178.65,1233569210.98,1232603027.04,1293557592.42,22737032.329999924,-966183.9400000572,60954565.380000114,82725413.76999998,0.06832112263669231,Fev26->Mar26,9528280.060000032,8528502.719999999,5240493.660000026,23297276.440000057,13208752.269999892,-9494686.660000056,55714071.72000009,59428137.32999992,53522498.21000004,-30225221.76999998,-0.5647199361174954
47,MERCEDES-BENZ - PRUDENCIAL,2312594005.39,2371106727.05,2369266620.91,2391986311.55,58512721.660000324,-1840106.1400003433,22719690.640000343,79392306.16000032,0.03433041250429578,Dez25->Jan26,25800848.71000004,7959141.439999938,-4519952.619999886,29240037.53000009,32711872.950000286,-9799247.580000281,27239643.26000023,50152268.63000023,64957211.620000005,-35717174.089999914,-0.5498569473539836
110,MÊNTORE IP - PRUDENCIAL,196306012.7,322208924.38,318411271.43,270691227.14,125902911.68,-3797652.949999988,-47720044.29000002,74385214.44,0.37892478899093857,Dez25->Jan26,5754368.180000007,-1506293.400000006,9291409.649999991,13539484.429999992,120148543.5,-2291359.549999982,-57011453.94000001,60845730.010000005,,,
67,BS2 - PRUDENCIAL,914196159.62,975071597.08,982032498.85,986765729.43,60875437.46000004,6960901.769999981,4733230.579999924,72569569.80999994,0.07938074235639386,Dez25->Jan26,517389.87999999523,2194857.629999995,7429143.25999999,10141390.76999998,60358047.58000004,4766044.139999986,-2695912.6800000668,62428179.03999996,-9872416.24000001,20013807.00999999,2.027245055664303
84,RANDON - PRUDENCIAL,503609868.04,539699258.48,569699258.48,566869053.86,36089390.44,30000000.0,-2830204.620000005,63259185.81999999,0.1256114898347773,Dez25->Jan26,7869375.540000007,10972638.760000005,9286622.799999982,28128637.099999994,28220014.89999999,19027361.239999995,-12116827.419999987,35130548.72,33885492.620000005,-5756855.520000011,-0.16989145132280534
