SEGMENTO;-;
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;SITUAÇÃO;
3848103;"AGENCIA DE FOMENTO DO RIO GRANDE DO NORTE S.A.";"RUA SERIDO, 466";-;"PETROPOLIS";"59020010";"NATAL";"RN";"Brasil";-;-;"https://www.agn.rn.gov.br";"Autorizada em Atividade";
10769660;"AGÊNCIA DE FOMENTO DE ALAGOAS S.A.";"RUA DEPUTADO JOSÉ LAJES, 972";"ESQUINA COM RUA JOSÉ JÚLIO SAWER";"PONTA VERDE";"57035330";"MACEIO";"AL";"Brasil";-;-;"https://www.desenvolve-al.com.br";"Autorizada em Atividade";
6284531;"AGÊNCIA DE FOMENTO DO ESTADO DE MATO GROSSO S/A - DESENVOLVE MT";"RUA ENGENHEIRO EDGAR PRADO ARZE, N- 215";"CENTRO POLÍTICO ADMINISTRATIVO";"CENTRO POLÍTICO ADMI";"78049909";"CUIABA";"MT";"Brasil";-;-;"https://www.desenvolve.mt.gov.br";"Autorizada em Atividade";
13178690;"AGÊNCIA DE FOMENTO DO ESTADO DE PERNAMBUCO S.A.";"RUA DO APOLO";"N- 81";"BAIRRO DO RECIFE";"50030220";"RECIFE";"PE";"Brasil";-;-;"https://www.age.pe.gov.br";"Autorizada em Atividade";
82937293;"AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC";"RUA ALMIRANTE ALVIM, 491";-;"CENTRO";"88015380";"FLORIANOPOLIS";"SC";"Brasil";-;-;"https://www.badesc.gov.br";"Autorizada em Atividade";
3183937;"AGÊNCIA DE FOMENTO DO ESTADO DO AMAZONAS S.A. - AFEAM";"AV. CONSTANTINO NERY, 5733";-;"FLORES";"69058795";"MANAUS";"AM";"Brasil";-;-;"https://www.afeam.org.br";"Autorizada em Atividade";
5474540;"AGÊNCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.";"PALMAS - TOCANTINS";"CAIXA POSTAL 2516";-;-;"PALMAS";"TO";"Brasil";-;-;"https://www.fomento.to.gov.br";"Autorizada em Atividade";
3584906;"AGÊNCIA DE FOMENTO DO PARANÁ S.A.";"RUA COMENDADOR ARAUJO";"NÚMERO 652";"BATEL";"80420063";"CURITIBA";"PR";"Brasil";-;-;"https://www.fomento.pr.gov.br";"Autorizada em Atividade";
11836226;"AGÊNCIA DE FOMENTO E DESENVOLVIMENTO DO ESTADO DO PIAUÍ S.A.";"RUA ELISEU MARTINS, N- 1240";-;"CENTRO";"64000120";"TERESINA";"PI";"Brasil";-;-;"https://www.badespi.pi.com.br";"Autorizada em Atividade";
13660104;"AGI FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"RUA SÉRGIO FERNANDES BORGES SOARES";"PRÉDIO 12-E1";"DISTRITO INDUSTRIAL";"13054709";"CAMPINAS";"SP";"Brasil";-;-;"https://www.agibank.com.br";"Autorizada em Atividade";
